id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
SC_55561731,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_50045938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_50045930,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54206693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55566921,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_55562675,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_51016744,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_53602854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55580283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51267420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51017082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_50046563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_50046535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_50996335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54952950,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54958846,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54952658,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54953056,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54952583,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54952972,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54958835,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54952717,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53644021,0,0,0,1,1,0,0,3,0,0,0,0,2,3
SC_51017035,0,0,0,1,1,0,0,4,0,0,0,0,2,4
SC_51017072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54747409,0,0,0,1,1,0,0,3,0,0,0,2,2,5
SC_56206932,0,0,0,0,0,0,0,7,1,0,1,0,2,7
SC_54743950,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54743820,0,0,0,0,0,0,0,1,0,0,0,2,0,3
SC_51017071,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_56785632,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SC_53637046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55234264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55284857,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SC_57381128,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SC_53245865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53246134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51017006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53243842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51016952,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SC_52880767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51017040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51899043,0,0,0,0,0,0,0,1,0,0,0,1,0,2
SC_50046465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_50996297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51226170,0,0,0,0,0,0,0,1,1,0,0,0,0,2
SC_51227947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57345183,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SC_53584368,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SC_54087366,0,0,0,1,2,0,0,6,1,0,0,0,3,7
SC_54538861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51016977,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_57399409,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54059820,0,0,0,1,2,0,0,6,1,0,0,0,3,7
SC_51593329,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SC_54210330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51017081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_50871043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51016942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_50871045,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_50871044,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_51017061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_50871042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_50871040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51017037,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54577235,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SC_52905993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_50046420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53607357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53209644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53597631,0,0,0,1,0,0,0,4,0,0,0,0,2,5
SC_51016929,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SC_51016851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51016853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51796935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57362673,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_50812437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54472276,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SC_55540928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54522511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51017075,0,0,0,0,0,0,0,1,2,0,0,0,2,2
SC_54951829,0,0,0,0,0,0,0,2,1,0,0,0,0,2
SC_56208974,0,0,0,0,0,0,0,2,1,0,0,0,0,2
SC_54743921,0,0,0,0,0,0,0,3,1,0,1,0,1,3
SC_55314583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51016842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51016988,0,0,0,1,1,0,0,2,0,0,0,0,1,2
SC_52719708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55556977,0,0,0,1,1,0,0,2,0,0,0,0,2,2
SC_53232710,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51388604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52773404,0,0,1,0,0,0,0,0,2,0,0,0,1,2
SC_56207359,0,0,0,0,0,0,0,3,1,0,1,0,1,3
SC_56208202,0,0,0,0,0,0,0,2,1,0,0,0,0,2
SC_56208543,0,0,0,0,0,0,0,2,1,0,0,0,0,2
SC_56208853,0,0,0,0,0,0,0,2,1,0,0,0,0,2
SC_56208681,0,0,0,0,0,0,0,2,1,0,0,0,0,2
SC_56208343,0,0,0,0,0,0,0,2,1,0,0,0,0,2
SC_56208042,0,0,0,0,0,0,0,2,1,0,0,0,0,2
SC_56208751,0,0,0,0,0,0,0,2,1,0,0,0,0,2
SC_55526368,0,0,0,1,1,0,0,2,0,0,0,0,1,2
SC_51016976,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_55599760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56192094,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_56189058,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_51197033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51016985,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_55598381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51016761,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54073028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52903928,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54575432,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_51974240,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SC_51974242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55030342,0,0,2,0,0,0,0,4,0,0,0,0,0,5
SC_54895439,0,0,0,1,1,0,0,9,0,0,0,0,2,9
SC_53135594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53135595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54743954,0,0,0,0,0,0,0,4,1,0,2,0,3,4
SC_57359677,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_57364406,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54953797,0,0,0,0,0,0,0,1,1,0,0,0,0,1
SC_54953408,0,0,0,0,0,0,0,1,1,0,0,0,0,1
SC_54954749,0,0,0,0,0,0,0,1,1,0,0,0,0,1
SC_54953925,0,0,0,0,0,0,0,1,1,0,0,0,0,1
SC_54958779,0,0,0,0,0,0,0,1,1,0,0,0,0,1
SC_54953593,0,0,0,0,0,0,0,1,1,0,0,0,0,1
SC_54958791,0,0,0,0,0,0,0,1,1,0,0,0,0,1
SC_54743905,0,0,0,0,0,0,0,2,1,0,0,0,0,2
SC_54953169,0,0,0,0,0,0,0,1,1,0,0,0,0,1
SC_55133770,0,0,0,0,0,0,0,2,1,0,0,0,0,2
SC_52874659,2,0,0,0,0,0,0,6,1,0,0,1,1,9
SC_51523049,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_51523038,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_51523051,3,0,1,0,2,0,0,3,1,0,0,1,3,8
SC_51523048,2,0,0,0,2,0,0,1,0,0,0,1,0,5
SC_51523040,2,0,1,0,1,0,0,2,1,0,0,1,0,6
SC_51523037,2,0,0,0,2,0,0,1,0,0,0,1,0,5
SC_57451187,2,1,1,0,1,0,0,5,1,0,1,1,2,9
SC_57449899,2,1,1,0,1,0,0,6,1,0,1,1,2,10
SC_57451352,2,1,1,0,1,0,0,5,1,0,1,1,2,9
SC_57450987,2,1,1,0,1,0,0,6,1,0,1,1,2,10
SC_53007488,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53007514,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53007406,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53007448,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53007355,0,0,1,1,1,0,0,1,1,0,0,1,0,1
SC_53007391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54935539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53006905,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53006927,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53007388,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SC_53007384,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53007354,0,0,1,1,2,0,0,1,1,0,0,1,0,2
SC_53007353,0,0,1,1,1,0,0,2,1,0,0,1,0,2
SC_53007420,0,0,0,0,1,0,0,1,0,0,0,0,0,2
SC_56804528,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SC_53007418,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53007405,0,0,0,0,1,0,0,1,0,0,0,0,0,2
SC_56802334,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SC_53007402,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53006851,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53007067,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53006795,0,0,1,1,1,0,0,1,1,0,0,1,0,1
SC_53006957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51523047,0,0,0,0,2,0,0,1,0,0,0,0,0,3
SC_51523036,0,0,0,0,2,0,0,1,0,0,0,0,0,3
SC_51523046,0,0,1,1,2,0,0,2,1,0,0,1,0,3
SC_51523035,0,0,0,0,1,0,0,1,0,0,0,0,0,2
SC_53006950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53006946,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53006722,0,0,1,1,1,0,0,1,1,0,0,1,0,1
SC_53006649,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53007062,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53006809,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_54730491,0,0,0,0,0,0,0,1,1,0,0,0,1,1
SC_55640413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55639619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55640421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55640405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55640580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55603413,0,0,1,0,2,1,0,2,3,0,1,0,0,3
SC_56871171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56871019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56871250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56871158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56871260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56870821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56870188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56870879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56870718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56870889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53303708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53299932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53302323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53302929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53302639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52609313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52609310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52609311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52609312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52609314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52447944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51844905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57347576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54492887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56117796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55521971,0,0,1,1,5,0,0,5,1,4,4,0,8,11
SC_56129005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51917146,0,0,0,0,1,0,0,5,0,0,1,0,0,5
SC_51531561,1,0,0,0,5,0,0,2,1,0,0,1,3,7
SC_51551128,1,0,0,0,3,0,0,0,1,0,0,0,4,5
SC_51917144,0,0,2,0,6,0,0,1,0,0,0,1,4,8
