id,climate,energy,environment,durability
040B,0,0,0,0
102K,0,0,0,0
170B,0,0,0,0
040K,0,0,0,0
100B,0,0,1,2
050K,0,0,0,0
001K,0,0,0,0
000B,0,0,0,0
600K,0,0,0,0
420M,0,0,0,0
422M,0,0,0,0
423M,0,0,0,0
424M,0,0,0,0
460M,0,0,0,0
46AM,0,0,0,0
460B,1,0,0,0
420B,1,0,0,0
410B,0,0,0,0
203K,0,0,0,0
280K,0,1,0,0
282K,0,0,0,0
251K,0,0,0,0
224M,0,0,0,0
210M,1,1,0,0
200M,0,0,0,0
220M,0,0,0,1
250M,0,0,0,0
26AM,0,0,0,0
241M,1,0,1,3
243M,1,0,1,3
244M,1,0,1,3
242M,1,0,1,3
245M,1,0,2,3
212M,1,1,0,0
211M,1,1,0,0
21DM,1,1,0,0
21AM,1,1,0,0
201M,0,0,0,0
202M,0,0,0,0
20DM,0,0,0,0
20AM,0,0,0,0
221M,1,0,0,1
22DM,0,0,0,1
22AM,0,1,0,1
281M,0,0,0,0
291M,0,0,0,0
29DM,0,0,0,0
29AM,0,0,0,0
251M,0,0,0,0
25DM,0,0,0,0
25AM,0,0,0,0
210B,0,0,0,0
200B,0,0,0,0
230B,0,0,0,1
240B,1,0,0,1
220B,0,0,0,0
250B,0,0,0,0
270B,0,0,1,0
800K,0,0,0,0
870M,0,0,0,0
800M,0,0,0,1
801M,0,0,0,1
802M,0,0,0,1
812M,0,0,0,0
811M,0,0,0,0
870B,0,0,0,0
810B,0,0,0,0
800B,0,0,0,1
720K,0,0,0,0
721K,0,0,0,0
771M,0,0,0,0
710M,0,0,0,0
775M,0,0,0,0
750M,0,0,1,1
772M,0,0,0,0
711M,0,0,0,0
71DM,0,0,0,0
71AM,0,0,0,0
751M,0,0,1,1
773M,0,0,0,0
75DM,0,0,1,1
732M,0,0,0,0
731M,1,0,0,1
752M,0,0,0,0
770B,0,0,0,0
710B,0,0,0,0
701B,0,0,1,1
730B,0,0,0,0
703B,0,0,0,0
722K,0,0,0,0
101K,0,0,0,0
100K,0,0,0,0
030B,0,0,0,0
020B,0,0,0,0
010B,0,0,0,0
050B,0,0,0,0
